name,team,position,old_nil,new_nil,change,direction
Efe Demirel,Grand Canyon,Big,732163,715979,-16184,down
Okechukwu Okeke,Albany,Big,911523,895409,-16114,down
Austin Maurer,Seattle,Big,736061,720022,-16039,down
Brandon Garrison,Kentucky,Big,520598,504570,-16028,down
Nate Bittle,Oregon,Big,1901254,1885323,-15931,down
Jake Pike,Lehigh,Big,2547,18469,15922,up
Jacob Bannarbie,UNLV,Big,353073,368886,15813,up
Paul Otieno,Saint Louis,Big,358396,374118,15722,up
Musa Sagnia,N.C. State,Big,159286,175005,15719,up
Belal El Shakery,New Hampshire,Big,649192,633633,-15559,down
Duke Brennan,Villanova,Big,1836786,1821324,-15462,down
Jamichael Stillwell,UCF,Big,845692,830355,-15337,down
Andrija Vukovic,Oklahoma St.,Big,279094,294388,15294,up
Tomislav Ivisic,Illinois,Big,766776,751704,-15072,down
Santiago Trouet,Arizona St.,Big,472529,457508,-15021,down
"JaQualon ""JQ"" Roberts",Davidson,Big,33755,48589,14835,up
Riley Dering,Air Force,Big,142552,157353,14801,up
Yanis Ndjonga,McNeese St.,Big,41804,56604,14800,up
Alex Condon,Florida,Big,1707616,1692888,-14728,down
Blake Daberkow,Idaho St.,Big,46663,61302,14639,up
Christoph Tilly,Ohio St.,Big,723301,708750,-14551,down
Mouhamed Dioubate,Kentucky,Big,1185121,1170648,-14473,down
Antoine Lorick III,Tennessee St.,Big,810743,796439,-14304,down
Patrick Ngongba,Duke,Big,1784662,1770401,-14261,down
Brandon Mitchell-Day,Dartmouth,Big,790245,776107,-14138,down
Tre-Vaughn Minott,Portland St.,Big,730747,716619,-14128,down
Francis Folefac,Siena,Big,685437,671420,-14017,down
P.J. Eason,Alabama A&M,Big,489539,475575,-13964,down
Xavier Booker,UCLA,Big,724681,710792,-13889,down
Arrinten Page,Northwestern,Big,1547277,1533393,-13884,down
Jalen Washington,Vanderbilt,Big,1560772,1546903,-13869,down
Simon Majok,Memphis,Big,20495,34243,13748,up
William Kyle III,Syracuse,Big,1535137,1521420,-13717,down
Tomislav Buljan,New Mexico,Big,1795945,1782234,-13711,down
Joseph Tugler,Houston,Big,1204756,1191084,-13672,down
Allen Mukeba,Arizona St.,Big,495970,509629,13660,up
Jaden Toombs,SMU,Big,676900,663240,-13660,down
Fabian Flores,DePaul,Big,543553,529969,-13584,down
Baboucarr Njie,UTSA,Big,379788,366394,-13393,down
Keeyan Itejere,Rhode Island,Big,540498,527111,-13386,down
Armani Mighty,Mercer,Big,1172029,1158660,-13369,down
Andrija Jelavic,Kentucky,Big,415853,402527,-13326,down
Jalen Pitre,Tennessee St.,Big,236093,249404,13312,up
Sheldon Williams,Texas A&M Corpus Chris,Big,613488,600253,-13235,down
Somto Cyril,Georgia,Big,1608386,1595181,-13206,down
Ariel Bland,Bethune Cookman,Big,388424,401580,13157,up
Rolyns Aligbe,Southern Illinois,Big,549062,535966,-13096,down
Malachi Moreno,Kentucky,Big,1536627,1549720,13093,up
Isaiah Gaines,Southeastern Louisiana,Big,649376,636314,-13062,down
Niko Rocak,UC Davis,Big,689483,676499,-12984,down
Troy Hupstead,Texas Southern,Big,637379,624421,-12957,down
Qadir Martin,Mercyhurst,Big,1181709,1168874,-12835,down
Taeshaud Jackson,Fairleigh Dickinson,Big,506211,493492,-12718,down
Trey Kaufman-Renn,Purdue,Big,1547206,1534555,-12651,down
Jayden Hastings,Boston College,Big,837400,849963,12563,up
Samson Aletan,Yale,Big,527478,514946,-12533,down
Ugonna Onyenso,Virginia,Big,1324374,1311860,-12514,down
Hannes Steinbach,Washington,Big,2822951,2810453,-12497,down
Samet Yigitoglu,SMU,Big,1292421,1279983,-12438,down
Shawn Phillips Jr.,Missouri,Big,1051260,1038851,-12409,down
Ahmet Jonovic,Bradley,Big,538869,551217,12348,up
Daniel Hankins-Sanford,Massachusetts,Big,386024,373683,-12342,down
Kellen Pickett,Wright St.,Big,698395,686207,-12187,down
Torey Alston,Middle Tennessee,Big,957674,945582,-12092,down
Eric Dibami,FIU,Big,582303,570235,-12067,down
Ridvan Tutic,Stonehill,Big,370959,358946,-12013,down
Charles Johnston,Furman,Big,719424,707453,-11971,down
Eric Reibe,Connecticut,Big,1057158,1045193,-11965,down
Morez Johnson Jr.,Michigan,Big,2206294,2194393,-11902,down
Noah Feddersen,North Dakota St.,Big,597014,585171,-11843,down
Jonah Pierce,Presbyterian,Big,1058791,1046996,-11794,down
Yaphet Moundi,San Jose St.,Big,683970,695763,11793,up
Darrion Sutton,Missouri St.,Big,318235,306444,-11791,down
Rikus Schulte,Fordham,Big,1061961,1050174,-11787,down
Tim Oboh,Buffalo,Big,672333,660593,-11740,down
Emmanuel Okorafor,Wichita St.,Big,573580,562025,-11555,down
Victory Onuetu,Hofstra,Big,316958,305411,-11548,down
