player_name,league,season,season_type,stat_type,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
Martynas Kancevicius,French LNB Espoirs,2026,Regular_Season,Averages,EMON,28,18.2,7.1,2.6,4.0,.658,0.0,0.2,.200,1.9,2.7,.684,1.9,2.9,4.7,0.9,0.4,0.1,1.1,2.6
Mapote Benga,French LNB Espoirs,2026,Regular_Season,Averages,ES,28,17.7,6.9,3.0,5.6,.545,0.0,0.2,.167,0.8,1.1,.677,1.1,2.8,3.9,1.2,0.6,0.7,1.3,3.1
Issiaga Sylla,French LNB Espoirs,2026,Regular_Season,Averages,ELIM,27,24.7,6.9,2.5,6.0,.416,0.7,2.1,.328,1.2,1.5,.800,1.8,3.4,5.2,1.7,1.0,0.6,2.7,2.8
Appolinaire Loussavouvou,French LNB Espoirs,2026,Regular_Season,Averages,ASV,16,19.9,6.8,2.8,5.8,.478,0.3,1.5,.208,1.0,1.5,.667,0.8,1.9,2.7,3.7,1.1,0.4,2.8,2.0
Tyler Beracou,French LNB Espoirs,2026,Regular_Season,Averages,ELM,29,22.3,6.8,2.6,5.4,.478,0.2,0.6,.375,1.4,2.1,.683,3.0,3.1,6.1,1.3,1.0,0.3,1.3,3.0
Mamadou Sissoko,French LNB Espoirs,2026,Regular_Season,Averages,EPB,23,14.5,6.8,2.6,4.7,.561,0.3,1.3,.267,1.2,1.9,.636,0.9,1.0,1.9,0.9,0.5,0.6,1.1,1.5
Jules Bonet,French LNB Espoirs,2026,Regular_Season,Averages,ECS,23,24.4,6.7,2.8,5.6,.496,0.6,2.0,.298,0.6,1.3,.419,1.7,2.7,4.5,3.0,1.4,0.3,1.8,3.4
Madiba Diaby-Cisse,French LNB Espoirs,2026,Regular_Season,Averages,ELM,26,18.5,6.7,2.5,5.7,.443,0.3,1.5,.179,1.4,2.4,.571,2.8,3.2,6.0,1.1,1.0,0.5,1.0,1.9
Sheyne Koudou,French LNB Espoirs,2026,Regular_Season,Averages,EPB,28,23.5,6.6,2.8,5.6,.500,0.1,0.6,.125,0.9,2.3,.400,2.3,2.7,4.9,1.6,0.8,0.3,1.6,2.4
Ayman Malibert,French LNB Espoirs,2026,Regular_Season,Averages,ELIM,15,18.8,6.6,2.3,6.6,.354,0.5,2.5,.184,1.5,2.4,.611,0.6,1.5,2.1,1.9,0.9,0.0,2.9,2.2
Thesbon Sydney Raolompanatena,French LNB Espoirs,2026,Regular_Season,Averages,ENAN,23,17.0,6.5,2.4,4.4,.554,0.5,1.6,.297,1.2,1.7,.711,0.5,1.9,2.4,1.7,0.7,0.2,1.2,1.9
Adrien Guermeur,French LNB Espoirs,2026,Regular_Season,Averages,EGD,28,27.2,6.4,2.1,5.8,.362,1.3,3.8,.330,1.0,1.5,.643,0.8,1.9,2.7,2.9,1.1,0.0,2.3,2.5
Thomas Durand-Leguay,French LNB Espoirs,2026,Regular_Season,Averages,ELM,24,15.5,6.3,2.4,5.0,.479,0.8,2.3,.357,0.8,1.4,.545,0.3,1.7,2.0,0.9,0.8,0.0,0.9,1.4
Erwan Mohamadi,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,26,17.5,6.2,2.5,6.1,.403,0.7,3.1,.213,0.6,1.0,.600,1.3,1.9,3.2,1.2,0.8,0.2,1.0,2.9
